ФИО,ИНН,Номер телефона,Электронная почта,Дата рождения,Достижения
Иванов Иван Иванович,772456789012,+7 916 555 82 19,aleksandr.ivanov1985@yandex.ru,12.05.1988,Помощь в организации благотворительного забега
Петров Петр Петрович,500123456789,+7 925 123 45 67,mariya.petrova2000@yandex.ru,28.02.2001,Сбор средств для местного приюта для животных
Сидоров Сидор Сидорович,667101122334,+7 903 987 65 43,sergey.smirnov77@yandex.ru,03.09.1975,Участие в уборке парка
Смирнов Алексей Иванович,780234567890,+7 968 234 56 78,elena.kuznetsova92@yandex.ru,16.07.1992,Организация мастер-класса для детей из малообеспеченных семей
Кузнецов Дмитрий Петрович,230987654321,+7 985 345 67 89,dmitriy.vasiliev88@yandex.ru,21.11.2005,Помощь пожилым людям с покупками
Попов Сергей Сидорович,345678901234,+7 915 456 78 90,natalia.popova75@yandex.ru,08.04.1963,Проведение занятий по английскому языку для мигрантов
Васильев Андрей Алексеевич,456789012345,+7 926 567 89 01,andrey.sokolov63@yandex.ru,19.10.1981,Участие в акции по сдаче крови
Федоров Михаил Дмитриевич,567890123456,+7 905 678 90 12,olga.lebedeva99@yandex.ru,05.01.2010,Организация концерта в доме престарелых
Соколов Александр Сергеевич,678901234567,+7 967 789 01 23,ivan.egorov51@yandex.ru,30.06.1997,Помощь в проведении фестиваля уличной еды в поддержку бездомных
Михайлов Николай Андреевич,789012345678,+7 980 890 12 34,tatiana.volkova86@yandex.ru,14.03.1958,Сбор одежды для нуждающихся
Новиков Владимир Михайлович,890123456789,+7 910 901 23 45,aleksey.zaitsev44@yandex.ru,25.08.2009,Участие в восстановлении исторического здания
Дмитриев Юрий Николаевич,901234567890,+7 929 012 34 56,svetlana.stepanova71@yandex.ru,10.12.1970,Организация экскурсии для детей-сирот
Волков Игорь Владимирович,123456789012,+7 909 123 45 67,nikolay.pavlov59@yandex.ru,01.02.1985,Помощь в проведении спортивных соревнований для людей с инвалидностью
Зайцев Евгений Юрьевич,234567890123,+7 960 234 56 78,irina.semenova83@yandex.ru,23.04.2002,Сбор игрушек для детской больницы
Лебедев Олег Игоревич,345678901234,+7 981 345 67 89,pavel.vinogradov67@yandex.ru,07.09.1967,Участие в посадке деревьев
Семенов Павел Евгеньевич,456789012345,+7 911 456 78 90,yulia.fedotova95@yandex.ru,18.05.1999,Организация праздника для детей с особыми потребностями
Егоров Антон Олегович,567890123456,+7 922 567 89 01,artem.filatov48@yandex.ru,29.01.2015,Помощь в проведении переписи населения
Павлов Роман Павлович,678901234567,+7 902 678 90 12,oksana.frolova79@yandex.ru,11.11.1978,Сбор продуктов для нуждающихся семей
Козлов Денис Антонович,789012345678,+7 961 789 01 23,denis.gavrilov61@yandex.ru,04.07.1994,Участие в археологических раскопках
Степанов Артем Романович,890123456789,+7 982 890 12 34,anna.ignatova89@yandex.ru,20.03.1961,Организация лекции о здоровом образе жизни
Николаев Максим Денисович,901234567890,+7 912 901 23 45,vladimir.kozlov55@yandex.ru,26.06.2007,Помощь в проведении экологической акции
Андреев Кирилл Артемович,123456789012,+7 923 012 34 56,ksenia.nikitina73@yandex.ru,09.10.1983,Сбор книг для библиотеки
Яковлев Илья Максимович,234567890123,+7 904 123 45 67,roman.orlov46@yandex.ru,02.12.1955,Участие в реставрации картин
Александров Владислав Кириллович,345678901234,+7 962 234 56 78,alla.polyakova81@yandex.ru,15.02.2000,Организация игрового дня для детей в больнице
Григорьев Никита Ильич,456789012345,+7 983 345 67 89,egor.sidorov65@yandex.ru,27.08.1973,Помощь в проведении фестиваля национальных культур
Богданов Даниил Владиславович,567890123456,+7 913 456 78 90,galina.tikhonova93@yandex.ru,13.04.1990,Сбор канцелярских товаров для школы-интерната
Сергеев Тимофей Никитич,678901234567,+7 924 567 89 01,ilya.ustinov42@yandex.ru,22.11.2003,Участие в создании мурала
Жуков Арсений Даниилович,789012345678,+7 906 678 90 12,zhanna.filippova77@yandex.ru,06.01.1965,Организация конкурса талантов для молодежи
Воробьев Матвей Тимофеевич,890123456789,+7 963 789 01 23,konstantin.khokhlov60@yandex.ru,17.07.1986,Помощь в проведении конференции
Морозов Лев Арсеньевич,901234567890,+7 984 890 12 34,larisa.tsvetkova87@yandex.ru,24.03.2012,Сбор средств на лечение ребенка
Филиппов Егор Матвеевич,123456789012,+7 914 901 23 45,maksim.chebotarev53@yandex.ru,31.05.1976,Участие в организации выставки
Герасимов Ярослав Львович,234567890123,+7 927 012 34 56,nadezhda.shcherbakova70@yandex.ru,10.09.1993,Организация кинопоказа под открытым небом
Крылов Иван Егорович,345678901234,+7 908 123 45 67,oleg.yakovlev45@yandex.ru,03.02.1959,Помощь в проведении ярмарки
Белов Михаил Ярославович,456789012345,+7 964 234 56 78,polina.antonova80@yandex.ru,19.08.2006,Сбор корма для бездомных животных
Виноградов Александр Иванович,567890123456,+7 986 345 67 89,ruslan.belov64@yandex.ru,05.12.1980,Участие в создании веб-сайта для некоммерческой организации
Комаров Дмитрий Петрович,678901234567,+7 917 456 78 90,sofia.vorobieva91@yandex.ru,21.04.1997,Организация танцевального мастер-класса
Беляев Сергей Сидорович,789012345678,+7 928 567 89 01,timur.gorbunov40@yandex.ru,28.01.2014,Помощь в проведении опроса общественного мнения
Игнатов Андрей Алексеевич,890123456789,+7 907 678 90 12,uliana.danilova75@yandex.ru,12.06.1979,Сбор средств для строительства детской площадки
Щербаков Михаил Дмитриевич,901234567890,+7 965 789 01 23,fedor.efremov58@yandex.ru,04.10.1995,Участие в организации театрального представления
Савин Александр Сергеевич,123456789012,+7 987 890 12 34,valentina.zhukova85@yandex.ru,20.02.1962,Организация кулинарного мастер-класса
Терентьев Николай Андреевич,234567890123,+7 918 901 23 45,anton.zimin69@yandex.ru,26.07.2008,Помощь в проведении спортивного турнира
Романов Владимир Михайлович,345678901234,+7 920 012 34 56,boris.kolesnikov97@yandex.ru,09.11.1984,Сбор средств на покупку инвалидной коляски
Архипов Юрий Николаевич,456789012345,+7 900 123 45 67,vera.lopatina43@yandex.ru,02.01.1956,Участие в организации научного семинара
Ершов Игорь Владимирович,567890123456,+7 966 234 56 78,gennadiy.mironov78@yandex.ru,15.03.2001,Организация музыкального концерта
Орлов Евгений Юрьевич,678901234567,+7 988 345 67 89,darya.novikova62@yandex.ru,27.09.1974,Помощь в проведении фотовыставки
Борисов Олег Игоревич,789012345678,+7 919 456 78 90,evgeniy.osipov90@yandex.ru,13.05.1991,Сбор средств на ремонт школы
Львов Павел Евгеньевич,890123456789,+7 921 567 89 01,zinaida.rybakova56@yandex.ru,22.12.2004,Участие в организации литературного вечера
Куликов Антон Олегович,901234567890,+7 901 678 90 12,igor.savelyev74@yandex.ru,06.02.1966,Организация шахматного турнира
Денисов Роман Павлович,123456789012,+7 969 789 01 23,klara.tarasova47@yandex.ru,17.08.1987,Помощь в проведении конференции по экологии
Соловьев Денис Антонович,234567890123,+7 989 890 12 34,leonid.ulyanov82@yandex.ru,24.04.2013,Сбор средств на покупку медицинского оборудования
Журавлев Артем Романович,345678901234,+7 930 901 23 45,marina.voronina66@yandex.ru,31.06.1977,Участие в организации фестиваля воздушных змеев
Титов Максим Денисович,456789012345,+7 931 012 34 56,nikita.gusev94@yandex.ru,10.10.1994,Организация мастер-класса по рукоделию
Мельников Кирилл Артемович,567890123456,+7 932 123 45 67,olga.dementieva41@yandex.ru,03.03.1960,Помощь в проведении спортивного марафона
Власов Илья Максимович,678901234567,+7 933 234 56 78,petr.ershov76@yandex.ru,19.09.2007,Сбор средств на строительство приюта для животных
Гаврилов Владислав Кириллович,789012345678,+7 934 345 67 89,rita.zhdanova59@yandex.ru,05.01.1981,Участие в организации исторической реконструкции
Федотов Никита Ильич,890123456789,+7 935 456 78 90,sergey.karpov86@yandex.ru,21.05.1998,Организация лекции по финансовой грамотности
Белоусов Даниил Владиславович,901234567890,+7 936 567 89 01,tatyana.lykova70@yandex.ru,28.02.2015,Помощь в проведении экологической экспедиции
Гусев Тимофей Никитич,123456789012,+7 937 678 90 12,viktor.maslov44@yandex.ru,12.07.1979,Сбор средств на покупку учебников
Смирнова Анна Ивановна,234567890123,+7 938 789 01 23,yulia.nechaeva79@yandex.ru,04.11.1996,Участие в организации фестиваля уличного искусства
Иванова Мария Петровна,345678901234,+7 939 890 12 34,aleksandr.panfilov63@yandex.ru,20.03.1963,Организация игрового дня для детей-беженцев
Петрова Елена Сидоровна,456789012345,+7 940 901 23 45,dmitriy.sidorov40@yandex.ru,26.08.2009,Помощь в проведении переписи диких животных
Сидорова Ольга Алексеевна,678901234567,+7 941 012 34 56,elena.titova75@yandex.ru,09.12.1985,Сбор средств на ремонт детского сада
Кузнецова Татьяна Дмитриевна,789012345678,+7 942 123 45 67,ivan.fomin58@yandex.ru,02.02.1957,Участие в организации фестиваля короткометражных фильмов
Попова Наталья Сергеевна,890123456789,+7 943 234 56 78,natalia.kharitonova85@yandex.ru,15.04.2002,Организация мастер-класса по фотографии
Васильева Ирина Андреевна,901234567890,+7 944 345 67 89,andrey.tsarev69@yandex.ru,27.10.1975,Сбор средств на покупку протеза
Федорова Светлана Михайловна,770312345678,+7 945 456 78 90,olga.chernova97@yandex.ru,13.06.1992,Участие в организации фестиваля этнической музыки
Соколова Юлия Николаевна,503456789012,+7 946 567 89 01,aleksey.shishkin43@yandex.ru,22.01.2005,Организация лекции по кибербезопасности
Михайлова Екатерина Владимировна,662567890123,+7 947 678 90 12,svetlana.yakovleva78@yandex.ru,06.03.1967,Помощь в проведении экологического мониторинга
Новикова Анастасия Юрьевна,781678901234,+7 948 789 01 23,nikolay.andreev62@yandex.ru,17.09.1988,Сбор средств на покупку спортивного инвентаря
Дмитриева Виктория Игоревна,234789012345,+7 949 890 12 34,irina.belyaeva90@yandex.ru,24.05.2014,Участие в организации фестиваля науки и техники
Волкова Ксения Евгеньевна,345890123456,+7 950 901 23 45,pavel.golubev56@yandex.ru,31.07.1978,Организация игрового дня для детей из многодетных семей
Зайцева Полина Олеговна,456901234567,+7 951 012 34 56,yulia.dmitrieva74@yandex.ru,10.11.1995,Помощь в проведении археологических исследований
Лебедева Дарья Павловна,567012345678,+7 952 123 45 67,artem.egorov47@yandex.ru,03.04.1961,Сбор средств на ремонт библиотеки
Семенова Алиса Антоновна,678123456789,+7 953 234 56 78,oksana.zhukova82@yandex.ru,19.10.2008,Участие в организации фестиваля документального кино
Егорова София Романовна,789234567890,+7 954 345 67 89,denis.zaitsev66@yandex.ru,05.02.1982,Организация мастер-класса по актерскому мастерству
Павлова Елизавета Денисовна,890345678901,+7 955 456 78 90,anna.ivanova94@yandex.ru,21.06.1999,Помощь в проведении спортивных соревнований по шахматам
